,FanIn L1,FanIn L2,FanOut L1,FanOut L2,Closest DFF In,Closest DFF Out,Closest PI,Closest PO,Static Probability,(broken)Observability
I160,2,4,1,1,2,2,4,12,0.5,9
DFF_7.CK,1,0,0,0,1,1,1,-1,-1.0,9
DFF_1.CK,1,0,0,0,1,1,1,-1,-1.0,9
I404_2,2,3,1,1,-1,4,3,9,0.0,9
I378_3,2,2,1,1,2,2,6,12,0.5,9
DFF_6.Q,0,0,1,5,1,0,2,11,-1.0,9
I209,2,4,1,0,1,4,8,9,0.5,9
P_6,2,6,1,1,-1,3,4,8,0.0,9
DFF_1.D,1,2,0,0,0,1,2,-1,-1.0,9
I308,2,4,1,0,1,3,8,11,0.5,9
I260,2,2,3,5,4,2,6,13,0.5,9
I571,1,2,1,1,-1,4,7,7,0.5,9
DFF_12.CK,1,0,0,0,1,1,1,-1,-1.0,9
DFF_5.Q,0,0,1,6,1,0,2,10,-1.0,9
X_6,1,0,5,8,3,1,6,10,0.5,9
I208,2,5,1,0,1,3,6,10,0.5,9
DFF_9.CK,1,0,0,0,1,1,1,-1,-1.0,9
C_0,0,0,1,1,-1,-1,0,8,0.5,9
I269_2,1,1,1,1,3,2,4,11,0.5,9
I167,2,3,3,3,4,3,4,13,0.0,9
I575,1,0,1,1,-1,-1,2,7,0.5,9
X_10,1,0,5,8,4,1,6,9,0.5,9
DFF_2.D,1,2,0,0,0,1,2,-1,-1.0,9
I73_2,1,1,1,1,3,2,6,13,0.5,9
DFF_8.CK,1,0,0,0,1,1,1,-1,-1.0,9
I546,1,2,1,1,-1,4,4,7,0.5,9
I599,1,0,1,1,-1,-1,2,6,0.5,9
I186_4,2,3,1,1,2,3,3,12,0.0,9
I631_1,2,2,1,1,-1,5,2,5,0.0,9
I407_2,4,4,1,5,-1,2,6,9,0.5,9
I450,2,1,2,2,-1,3,2,10,0.5,9
I534_2,2,6,1,1,-1,6,5,4,0.0,9
I301_4,2,2,1,1,2,2,7,12,0.0,9
I533_4,3,6,1,1,-1,6,4,3,0.0,9
X_15,1,0,4,6,4,1,7,5,0.5,9
DFF_5.D,1,2,0,0,0,1,2,-1,-1.0,9
I301_2,1,1,1,1,3,2,4,12,0.5,9
DFF_1.Q,0,0,1,6,1,0,2,11,-1.0,9
I307,2,3,1,0,1,3,6,6,0.5,9
I186_1,1,1,1,1,3,2,5,13,0.5,9
I265,2,3,3,3,4,3,5,12,0.0,9
I550,1,0,1,1,-1,-1,2,7,0.5,9
DFF_9.Q,0,0,1,6,1,0,2,9,-1.0,9
C_12,0,0,1,1,-1,-1,0,6,0.5,9
P_4,3,4,1,1,-1,2,5,8,0.0,9
I534_5,2,2,1,0,-1,5,2,2,0.0,9
I441,1,1,1,1,-1,2,6,10,0.5,9
I12,2,5,1,0,1,4,4,11,0.5,9
C_2,0,0,1,1,-1,-1,0,8,0.5,9
I622,1,0,1,1,-1,-1,2,5,0.5,9
I607_1,2,2,1,1,-1,5,2,6,0.0,9
I496,1,1,2,3,-1,2,6,8,0.5,9
I607_2,2,2,1,1,-1,5,2,6,0.0,9
I603_1,2,2,1,1,-1,6,3,5,0.5,9
I269_3,2,3,1,1,2,4,6,10,0.0,9
I186_2,1,2,1,1,3,5,3,13,0.5,9
I269_1,1,2,1,1,3,4,6,11,0.5,9
I407_1,4,4,5,9,-1,2,7,9,0.5,9
I420,2,2,2,2,-1,3,4,9,0.5,9
I344,1,1,3,3,3,2,5,9,0.5,9
I7_3,2,3,1,1,2,3,3,12,0.5,9
P_8,2,7,1,1,-1,3,6,7,0.0,9
I171_3,2,3,1,1,2,4,5,11,0.0,9
X_12,1,0,5,5,3,1,5,9,0.5,9
DFF_15.CK,1,0,0,0,1,1,1,-1,-1.0,9
I146,1,2,2,4,4,5,3,14,0.5,9
DFF_10.CK,1,0,0,0,1,1,1,-1,-1.0,9
I423,1,2,1,2,-1,4,3,10,0.0,9
I503,2,2,2,2,-1,3,4,8,0.5,9
I13,2,4,1,0,1,4,3,11,0.5,9
I411,1,1,2,3,-1,2,6,12,0.5,9
I466,1,0,1,1,-1,-1,2,9,0.5,9
I378_4,2,3,1,1,2,3,5,12,0.0,9
I583_2,2,3,1,1,-1,3,2,7,0.0,9
DFF_13.D,1,2,0,0,0,1,2,-1,-1.0,9
X_7,1,0,6,8,4,1,6,9,0.5,9
DFF_3.CK,1,0,0,0,1,1,1,-1,-1.0,9
DFF_8.Q,0,0,1,5,1,0,2,10,-1.0,9
DFF_2.Q,0,0,1,5,1,0,2,11,-1.0,9
C_14,0,0,1,1,-1,-1,0,6,0.5,9
I7_2,1,1,1,1,3,2,6,13,0.5,9
I533_3,3,6,1,1,-1,6,4,4,0.0,9
C_13,0,0,1,1,-1,-1,0,6,0.5,9
I284_3,2,2,1,1,2,2,5,11,0.5,9
I48,1,0,2,4,5,-1,2,15,0.5,9
I105_2,1,1,1,1,3,2,4,13,0.5,9
DFF_15.D,1,2,0,0,0,1,2,-1,-1.0,9
I105_3,2,3,1,1,2,3,4,12,0.5,9
I387_1,2,2,1,1,4,2,7,14,0.0,9
I266_1,3,3,1,1,2,2,7,11,0.5,9
I361,2,2,2,2,3,2,4,8,0.5,9
I355,2,4,1,1,2,2,5,8,0.5,9
C_3,0,0,1,1,-1,-1,0,8,0.5,9
P_3,2,3,1,1,-1,3,5,8,0.0,9
P_14,2,4,1,1,-1,4,4,6,0.0,9
DFF_13.Q,0,0,1,4,1,0,2,6,-1.0,9
DFF_14.D,1,2,0,0,0,1,2,-1,-1.0,9
I495,1,1,2,3,-1,2,7,8,0.5,9
I1_2,2,3,5,11,4,4,2,13,0.0,9
X_9,1,0,6,10,4,1,7,9,0.5,9
I49,1,1,1,1,3,2,6,15,0.5,9
I284_1,1,1,1,1,3,2,8,13,0.5,9
I1_4,2,5,3,6,3,5,4,14,0.0,9
P_15,2,4,1,1,-1,5,6,6,0.0,9
DFF_11.Q,0,0,1,6,1,0,2,10,-1.0,9
P_13,2,4,1,1,-1,5,4,6,0.0,9
I404_4,2,3,1,1,-1,3,3,7,0.0,9
I148,1,1,3,3,4,2,5,13,0.5,9
I291_1,3,4,1,1,3,3,5,12,0.5,9
I384_1,3,4,1,1,3,3,6,13,0.5,9
I73_1,1,2,1,1,3,4,4,13,0.5,9
I245,1,1,1,1,3,2,6,17,0.5,9
I186_3,2,2,1,1,2,2,4,12,0.5,9
I476,2,2,2,2,-1,3,4,9,0.5,9
I88_4,2,1,1,1,2,3,2,12,0.0,9
I262,2,3,2,2,4,2,4,13,0.5,9
P_11,2,4,1,1,-1,5,6,7,0.0,9
I203_2,1,1,1,1,3,2,6,12,0.5,9
I534_4,2,5,1,0,-1,8,5,2,0.0,9
I619,1,2,1,1,-1,5,7,5,0.5,9
Z,2,4,0,0,-1,5,3,0,0.0,9
DFF_12.Q,0,0,1,3,1,0,2,7,-1.0,9
I551,1,0,1,1,-1,-1,2,7,0.5,9
I284_4,2,3,1,1,2,3,4,11,0.0,9
C_10,0,0,1,1,-1,-1,0,7,0.5,9
I66,2,1,2,2,4,2,2,14,0.5,9
I2_2,3,4,1,5,3,3,6,15,0.5,9
I168_1,3,3,1,1,2,2,5,12,0.5,9
I579_2,2,2,1,1,-1,5,3,6,0.5,9
C_5,0,0,1,1,-1,-1,0,8,0.5,9
I410,1,0,1,1,-1,-1,2,9,0.5,9
DFF_6.D,1,2,0,0,0,1,2,-1,-1.0,9
I378_2,1,2,1,1,3,5,5,13,0.5,9
C_1,0,0,1,1,-1,-1,0,8,0.5,9
I269_4,2,2,1,1,2,2,7,10,0.5,9
CK,0,0,16,0,-1,-1,0,-1,0.5,9
I203_3,2,3,1,1,2,3,5,11,0.5,9
I210,2,4,1,0,1,4,7,10,0.5,9
I88_3,2,2,1,1,2,2,3,12,0.5,9
I498,1,1,1,1,-1,2,5,5,0.5,9
I88_2,1,0,1,1,3,-1,2,13,0.5,9
P_12,2,5,1,1,-1,4,6,6,0.0,9
I422,2,1,2,2,-1,3,2,11,0.5,9
I533_1,3,6,1,1,-1,7,4,5,0.0,9
I306,2,5,1,0,1,3,2,11,0.5,9
X_16,1,0,3,3,3,1,5,6,0.5,9
I413,1,1,1,1,-1,2,7,9,0.5,9
I440,1,1,2,3,-1,2,7,10,0.5,9
I578,2,4,1,1,-1,4,3,6,0.5,9
I439,1,1,2,3,-1,2,7,10,0.5,9
I73_3,2,3,1,1,2,4,4,12,0.0,9
I405_2,2,3,1,1,-1,4,5,9,0.0,9
C_4,0,0,1,1,-1,-1,0,8,0.5,9
P_10,2,4,1,1,-1,4,4,7,0.0,9
I359,2,3,4,5,3,2,5,10,0.5,9
I403_4,2,2,1,1,-1,3,3,7,0.0,9
DFF_11.CK,1,0,0,0,1,1,1,-1,-1.0,9
I73_4,2,2,1,1,2,2,5,12,0.5,9
X_13,1,0,4,8,3,1,8,9,0.5,9
I408_3,2,6,4,4,-1,4,9,7,0.5,9
I405_4,2,3,1,1,-1,4,5,7,0.0,9
I363_1,3,4,1,1,2,3,8,12,0.5,9
X_3,1,0,6,12,4,1,6,10,0.5,9
C_6,0,0,1,1,-1,-1,0,8,0.5,9
I438,1,0,1,1,-1,-1,2,10,0.5,9
I602,2,4,1,1,-1,6,3,5,0.5,9
